,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
200,94403,Financial Services,11400.0,"Franklin Resources, Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides its services to individuals, institutions, pension plans, trusts, and partnerships. It launches equity, fixed income, balanced, and multi-asset mutual funds through its subsidiaries. The firm invests in the public equity, fixed income, and alternative markets. Franklin Resources, Inc. was founded in 1947 and is based in San Mateo, California with an additional office in Hyderabad, India.",San Mateo,650-312-2000,CA,United States,[],http://www.franklinresources.com,1.0,One Franklin Parkway,Asset Management,33.79,33.94,24.487556,0.032258064,0.6987,,34.2,,3404325.0,,33.79,28.23,1.09,33.94,,3404325.0,,,,1.12,1617062400.0,1.307225,,,32.615,2.0,USD,22.169449,1880879.0,,,,17456654336.0,,,3657773.0,2.8281794,32.615,35.05,,900.0,1880879.0,34.2,10.530488,,3.12,14.91,32.8,False,0.035,900.0,34.2,NYQ,"Franklin Resources, Inc.","Franklin Resources, Inc.",America/New_York,EDT,True,-14400000,EQUITY,BEN,finmb_28703,us_market,,2.951,,0.12859,10.799,,,3.28,,505404000.0,,,20.577,19092614.0,0.0378,,1601424000.0,0.48324,768000000.0,1.558,,,1.6785733,0.42911,1664496000.0,1609372800.0,5.61,1615766400.0,282813832.0,18215235584.0,,1374796800.0,3:1,,,,-0.015,1618444800.0,1.75,,0.0661,21764120.0,,,,34.54,https://logo.clearbit.com/franklinresources.com,,,,,,e75084b2-a0b1-3b1e-b920-2bf35cd515f8
201,85004-2189,Basic Materials,24500.0,"Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. The company primarily explores for copper, gold, molybdenum, silver, and other metals, as well as oil and gas. Its assets include the Grasberg minerals district in Indonesia; Morenci, Bagdad, Safford, Sierrita, and Miami in Arizona; Tyrone and Chino in New Mexico; and Henderson and Climax in Colorado, North America, as well as Cerro Verde in Peru and El Abra in Chile. The company also operates a portfolio of oil and gas properties primarily located in offshore California and the Gulf of Mexico. As of December 31, 2020, it operated approximately 165 wells. The company was formerly known as Freeport-McMoRan Copper & Gold Inc. and changed its name to Freeport-McMoRan Inc. in July 2014. Freeport-McMoRan Inc. was incorporated in 1987 and is headquartered in Phoenix, Arizona.",Phoenix,602-366-8100,AZ,United States,[],http://fcx.com,1.0,333 North Central Avenue,Copper,44.8,44.06,25.79926,0.0011160715,0.0,,44.65,,17326550.0,,44.8,34.70788,0.05,44.06,,17326550.0,,,,0.3,1618358400.0,2.118036,,,42.315,2.0,USD,34.550655,37415587.0,,,,61937938432.0,,,24864763.0,3.8115654,42.315,42.44,,3000.0,37415587.0,44.65,12.815152,,,7.3,42.38,False,0.0076,900.0,44.65,NYQ,"Freeport-McMoRan, Inc.",Freeport-McMoRan Inc.,America/New_York,EDT,True,-14400000,EQUITY,FCX,finmb_273607,us_market,,4.709,,0.111260004,12.533,,,3.3,,1464600064.0,,,7.3,12289206.0,0.0084,,1609372800.0,0.76868,1804999936.0,1.224,,,5.7931504,0.00585,1672444800.0,1617148800.0,0.54,1615766400.0,1490074375.0,76523585536.0,,1296604800.0,2:1,,,,,1618444800.0,0.4,,0.0094,26169403.0,,,,42.29,https://logo.clearbit.com/fcx.com,,,,,,3a447e02-efa8-35e4-90c2-8f814502ceb8
202,94105,Consumer Cyclical,117000.0,"The Gap, Inc. operates as an apparel retail company. The company offers apparel, accessories, and personal care products for men, women, and children under the Old Navy, Gap, Banana Republic, Athleta, Intermix, and Janie and Jack brands. Its products include denim, tees, fleece, and khakis; eyewear, jewelry, shoes, handbags, and fragrances; and fitness and lifestyle products for use in yoga, training, sports, travel, and everyday activities for women and girls. The company offers its products through company-operated stores, franchise stores, Websites, third-party arrangements, and catalogs. It has franchise agreements with unaffiliated franchisees to operate Old Navy, Gap, Athleta, and Banana Republic stores and websites in Asia, Europe, Latin America, the Middle East, and Africa. As of March 04, 2021, the company had 3,100 company-operated stores and 615 franchise stores. It also provides its products through e-commerce sites. The Gap, Inc. was founded in 1969 and is headquartered in San Francisco, California.",San Francisco,415 427 0100,CA,United States,[],http://www.gapinc.com,1.0,Two Folsom Street,Apparel Retail,35.29,35.66,22.517334,0.0068574664,0.0,,35.7,,5780450.0,,35.29,27.777576,0.242,35.66,,5780450.0,,,,0.97,1617667200.0,1.667402,,,32.29,2.0,USD,,6641805.0,,,,13388071936.0,,,7508733.0,0.9701502,32.29,35.99,,900.0,6641805.0,35.7,18.696335,,,6.54,32.38,False,0.0275,1400.0,35.7,NYQ,"Gap, Inc. (The)","The Gap, Inc.",America/New_York,EDT,True,-14400000,EQUITY,GPS,finmb_274265,us_market,,1.338,,-0.048189998,802.968,,,1.91,,374911008.0,,,6.989,13619274.0,0.0363,,1611964800.0,0.53771996,-665000000.0,-1.78,,,5.1094575,0.47377,1675036800.0,1611964800.0,2.22,1615766400.0,237333525.0,18468272128.0,,930009600.0,3:2,,,,,1618444800.0,4.98,,0.0677,15238740.0,,,,35.71,https://logo.clearbit.com/gapinc.com,,,,,,8c578de3-7278-3da4-88d7-63ea86c5cf20
203,8200,Technology,16000.0,"Garmin Ltd. designs, develops, manufactures, markets, and distributes a range of navigation, communication, and information devices in the Americas, the Asia Pacific, Australian Continent, Europe, the Middle East, and Africa. Its Fitness segment offers running and multi-sport watches; cycling products; activity tracking and smartwatch devices; and fitness and cycling accessories. This segment also provides Garmin Connect and Garmin Connect Mobile, which are web and mobile platforms; and Connect IQ, an application development platform. The company's Outdoor segment offers adventure watches, outdoor handhelds, golf devices, and dog tracking and training devices. Its Aviation segment designs, manufactures, and markets various aircraft avionics solutions comprising integrated flight decks, electronic flight displays and instrumentation, navigation and communication products, automatic flight control systems and safety-enhancing technologies, audio control systems, engine indication systems, traffic awareness and avoidance solutions, ADS-B and transponder solutions, weather information and avoidance solutions, datalink and connectivity solutions, portable GPS navigators and wearables, and various services products. The company's Marine segment provides chartplotters and multi-function displays, cartography products, fish finders, sonar products, autopilot systems, radars, compliant instrument displays and sensors, VHF communication radios, handhelds and wearable devices, sailing products, entertainment, digital switching products, and trolling motors. Its Auto segment offers embedded computing models and infotainment systems; personal navigation devices; and cameras. The company sells its products through independent retailers, online retailers, dealers, distributors, installation and repair shops, and original equipment manufacturers, as well as an online webshop, garmin.com. Garmin Ltd. was founded in 1989 and is based in Schaffhausen, Switzerland.",Schaffhausen,41 52 630 1600,,Switzerland,[],http://www.garmin.com,1.0,MUehlentalstrasse 2,Scientific & Technical Instruments,140.59,139.77,116.012665,0.019062523,0.4461,,140.54,,800475.0,,140.59,127.11424,2.68,139.77,,800475.0,,,,2.68,1623628800.0,1.061224,,,135.78,2.0,USD,25.674835,484094.0,,,,26975236096.0,,,755770.0,6.1268477,135.78,136.24,,900.0,484094.0,140.54,23.63468,,3.12,73.63,136.18,False,0.0194,800.0,140.54,NMS,Garmin Ltd.,Garmin Ltd.,America/New_York,EDT,True,-14400000,EQUITY,GRMN,finmb_598655,us_market,,5.566,,0.23875,19.421,,,5.94,,192144992.0,,,29.748,2191842.0,0.0114,,1608940800.0,0.52771,1051172992.0,5.468,,,4.719309,0.21423,1672012800.0,1616803200.0,3.3,1615766400.0,141816206.0,24506384384.0,,1155686400.0,2:1,,,,0.365,1618444800.0,4.1,,0.0145000005,2248887.0,,,,140.39,https://logo.clearbit.com/garmin.com,,,,,,c68259b0-048b-3945-b0cc-9e170f73cc39
204,06902-7700,Technology,15600.0,"Gartner, Inc. operates as a research and advisory company in the United States, Canada, Europe, the Middle East, Africa, and internationally. It operates through three segments: Research, Conferences, and Consulting. The Research segment offers objective insights and advice on the priorities of various leaders in a range of functional areas of the enterprise through reports, briefings, proprietary tools, access to research expert, peer networking services, and membership programs that enable clients to drive organizational performance. This segment delivers its research primarily through a subscription service. The Conferences segment offers business professionals in an organization the opportunity to learn, share, and network. The Consulting segment offers market research, custom analysis, and on-the-ground support services. This segment also offers actionable solutions for IT-related priorities, including IT cost optimization, digital transformation, and IT sourcing optimization. Gartner, Inc. was founded in 1979 and is headquartered in Stamford, Connecticut.",Stamford,203-316-1111,CT,United States,[],http://www.gartner.com,1.0,56 Top Gallant Road,Information Technology Services,225.31,225.16,156.64,,0.0,,227.21,,747075.0,,225.31,182.9712,,225.16,,747075.0,,,,,932342400.0,1.613899,,,222.82,2.0,USD,78.074326,313276.0,,,,20097495040.0,,,537965.0,4.902542,222.82,224.05,,1400.0,313276.0,227.21,40.975178,,,97.56,223.86,False,,800.0,227.21,NYQ,"Gartner, Inc.","Gartner, Inc.",America/New_York,EDT,True,-14400000,EQUITY,IT,finmb_130705,us_market,,5.426,,0.06507,32.436,,,5.64,,86964496.0,,,12.274,1141959.0,0.013099999,,1609372800.0,0.96055,266744992.0,2.96,,,18.828419,0.029159999,1672444800.0,1609372800.0,1.56,1615766400.0,85910849.0,22245376000.0,,828316800.0,2:1,,,,0.767,1618444800.0,3.49,,0.0152,1186583.0,,,,231.1,https://logo.clearbit.com/gartner.com,PO Box 10212,,,,,cd32106b-cb6d-3321-930c-f34574ea388c
205,53189,Industrials,6452.0,"Generac Holdings Inc. designs, manufactures, and sells power generation equipment, energy storage systems, and other power products for the residential, and light commercial and industrial markets worldwide. The company offers engines, alternators, transfer switches, and other components fueled by natural gas, liquid propane, gasoline, diesel, and bi-fuel; and batteries and inverters. It also provides residential automatic standby generators ranging in output from 7.5kW to 150kW; air-cooled engine residential standby generators ranging from 7.5kW to 24kW; liquid-cooled engine generators with outputs ranging from 22kW to 150kW; and Mobile Link, a remote monitoring system for home standby generators. In addition, the company offers various portable generators ranging in size from 800W to 17.5kW; engine driven power washers; water pumps; outdoor power equipment, such as trimmers and brush mowers, log splitters, lawn and leaf vacuums, and chipper shredders; and clean energy solution under the PWRcell and PWRview brands. Further, it provides light towers, mobile generators, and flameless heaters; light-commercial standby generators ranging from 22kW to 150kW and related transfer switches providing three-phase power for small and mid-sized businesses; and industrial generators ranging in output from 10kW up to 3,250kW used as emergency backup for healthcare, telecom, datacom, commercial office, retail, municipal, and manufacturing markets. Additionally, the company sells aftermarket service parts and product accessories to dealers. It distributes its products through independent residential dealers, industrial distributors and dealers, national and regional retailers, e-commerce partners, electrical, HVAC and solar wholesalers, catalogs, equipment rental companies and distributors, and solar installers; and directly to end users. Generac Holdings Inc. was founded in 1959 and is headquartered in Waukesha, Wisconsin.",Waukesha,262 544 4811,WI,United States,[],http://www.generac.com,1.0,S45 W29290 Highway 59,Specialty Industrial Machinery,304.62,296.56,249.83415,,0.0,,304.01,,779050.0,,304.62,322.7391,,296.56,,779050.0,,,,,1370822400.0,0.933811,,,287.82,2.0,USD,42.23018,524445.0,,,,18942380032.0,,,1019950.0,6.7249804,287.82,289.24,,800.0,524445.0,364.0,27.18067,,,89.23,289.13,False,,1400.0,304.01,NYQ,Generac Holdlings Inc.,Generac Holdings Inc.,America/New_York,EDT,False,-14400000,EQUITY,GNRC,finmb_78749412,us_market,,7.129,,0.16157,29.417,,,11.07,,62954500.0,,,24.19,1153094.0,0.0183,,1609372800.0,0.95629,453862016.0,7.125,,,12.438611,0.01606,1672444800.0,1617148800.0,0.9,1615766400.0,61976859.0,20079110144.0,,1265760000.0,1:3,,,,2.351,1618444800.0,4.13,,0.0211,1152524.0,,,,300.89,https://logo.clearbit.com/generac.com,,,,,,bd5db152-41b9-366d-973b-2483101849d1
206,,,,,,,,,,,1.0,,,191.54,192.0,153.72423,0.022971705,,,192.7014,,1102100.0,,191.54,172.50787,4.4,192.0,,1102100.0,,,,,,,,,186.69,2.0,USD,17.449091,890802.0,,,,54945701888.0,,,1391220.0,,186.69,187.91,,800.0,890802.0,192.7014,15.630294,,,121.67,191.85,False,,800.0,192.7014,NYQ,General Dynamics Corporation,General Dynamics Corporation,America/New_York,EDT,True,-14400000,EQUITY,GD,finmb_274561,us_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.94,,,,,,,56a03673-5e46-3211-95a5-5359c5ad144f
207,02210,Industrials,174000.0,"General Electric Company operates as a high-tech industrial company worldwide. The company's Power segment offers heavy-duty and aeroderivative gas turbines for utilities, independent power producers, and industrial applications; maintenance, service, and upgrade solutions to plant assets and their operational lifecycle; steam power technology for fossil and nuclear applications, including boilers, generators, steam turbines, and air quality control systems; and advanced reactor technologies solutions comprising reactors, fuels, and support services for boiling water reactors. This segment also applies the science and systems of power conversion to provide motors, generators, automation, and control equipment; and drives for energy intensive industries, such as marine, oil and gas, mining, rail, metals, test systems, and water. Its Renewable Energy segment provides various solutions for its customers through combining onshore and offshore wind, blades, hydro, storage, solar, and grid solutions, as well as hybrid renewables and digital services offerings. The company's Aviation segment designs and produces commercial and military aircraft engines, integrated engine components, electric power, and mechanical aircraft systems; and provides aftermarket services. Its Healthcare segment develops, manufactures, markets, and services magnetic resonance, computed tomography, molecular imaging, x-ray and high-frequency soundwave systems, clinical monitoring and acute care systems, enterprise digital, artificial intelligence applications, consulting and command center, and complementary software and services; and researches, manufactures, and markets imaging agents. The company's Capital segment offers aviation leasing and financing, and working capital services; financial solutions and underwriting capabilities; and insurance and reinsurance for life and health risks, as well as annuity products. The company was founded in 1878 and is headquartered in Boston, Massachusetts.",Boston,617-443-3000,MA,United States,[],http://www.ge.com,1.0,5 Necco Street,Specialty Industrial Machinery,13.09,13.08,10.268,0.0030557676,,,13.13,,57000500.0,,13.09,12.949394,0.04,13.08,,57000500.0,,,,0.04,1614902400.0,1.088803,,,12.77,2.0,USD,,47627720.0,,,,116404772864.0,,,86094671.0,1.5068969,12.77,13.27,,40700.0,47627720.0,14.42,25.500002,,2.64,5.48,13.27,False,0.003,28000.0,13.13,NYQ,General Electric Company,General Electric Company,America/New_York,EDT,True,-14400000,EQUITY,GE,finmb_177031,us_market,,2.131,,-0.042680003,29.121,,,0.52,,8778640384.0,,,3.825,106875532.0,0.012200001,,1609372800.0,0.63714004,-968000000.0,-0.453,,,3.4666667,0.00243,1672444800.0,1617148800.0,1.76,1615766400.0,8753534087.0,164648763392.0,,1551139200.0,104:100,,,,,1618444800.0,16.75,,0.012200001,106634885.0,,,,13.26,https://logo.clearbit.com/ge.com,,,,,,f8037296-28ad-3419-9f22-4c2a225038e9
208,55426,Consumer Defensive,35000.0,"General Mills, Inc. manufactures and markets branded consumer foods worldwide. The company operates in five segments: North America Retail; Convenience Stores & Foodservice; Europe & Australia; Asia & Latin America; and Pet. It offers ready-to-eat cereals, refrigerated yogurt, soup, meal kits, refrigerated and frozen dough products, dessert and baking mixes, frozen pizza and pizza snacks, snack bars, fruit snacks, nutrition bars, and savory snacks, as well as organic products, including refrigerated yogurt, frozen and shelf-stable vegetables, meal kits, salty snacks, ready-to-eat cereal, and grain snacks. It also supplies branded and unbranded food products to the North American foodservice and commercial baking industries; and manufactures and markets pet food products, including dog and cat food. The company markets its products under the Annie's, Betty Crocker, Bisquick, Blue Buffalo, BLUE Basics, BLUE Freedom, BLUE Wilderness, Bugles, Cascadian Farm, Cheerios, Chex, Cinnamon Toast Crunch, Cocoa Puffs, Cookie Crisp, EPIC, Fiber One, Food Should Taste Good, Fruit by the Foot, Fruit Gushers, Fruit Roll-Ups, Gardetto's, Go-Gurt, Gold Medal, Golden Grahams, HÃ¤agen-Dazs, Helpers, Jus-Rol, Kitano, Kix, LÃ¤rabar, Latina, LibertÃ©, Lucky Charms, Muir Glen, Nature Valley, Oatmeal Crisp, Old El Paso, Oui, Pillsbury, Progresso, Raisin Nut Bran, Total, Totino's, Trix, Wanchai Ferry, Wheaties, Yoki, and Yoplait trademarks. General Mills, Inc. sells its products directly, as well as through broker and distribution arrangements to grocery stores, mass merchandisers, membership stores, natural food chains, e-commerce retailers, commercial and noncommercial foodservice distributors and operators, restaurants, convenience stores, and pet specialty stores, as well as drug, dollar, and discount chains. It operates 500 leased and 358 franchise branded ice cream parlors. General Mills, Inc. was founded in 1866 and is headquartered in Minneapolis, Minnesota.",Minneapolis,763 764 7600,MN,United States,[],http://www.generalmills.com,1.0,Number One General Mills Boulevard,Packaged Foods,63.11,63.19,59.13237,0.031690698,0.48540002,,64.65,,6048575.0,,63.11,58.21424,2.0,63.19,,6048575.0,,,,2.04,1617840000.0,0.564258,,,63.37,2.0,USD,15.392086,3233286.0,,,,38672162816.0,,,5040040.0,2.0762017,63.37,63.78,,900.0,3233286.0,66.14,17.08895,,3.59,53.96,63.05,False,0.033,1100.0,64.65,NYQ,"General Mills, Inc.","General Mills, Inc.",America/New_York,EDT,True,-14400000,EQUITY,GIS,finmb_274715,us_market,,2.668,,0.13683,11.921,,,3.71,,609971008.0,,,14.531,25520542.0,0.0418,,1590883200.0,0.78082,2548699904.0,4.119,,,4.3630857,0.00161,1653955200.0,1614470400.0,5.0,1615766400.0,608196253.0,49686626304.0,,1276041600.0,2:1,,,,0.312,1618444800.0,3.9,,0.0419,27450495.0,,,,63.4,https://logo.clearbit.com/generalmills.com,,,,,,715ecda3-bb03-3fbf-af13-26d8a6c32193
209,48265-3000,Consumer Cyclical,155000.0,"General Motors Company designs, builds, and sells cars, trucks, crossovers, and automobile parts worldwide. The company operates through GM North America, GM International, Cruise, and GM Financial segments. It markets its vehicles primarily under the Buick, Cadillac, Chevrolet, GMC, Holden, Baojun, and Wuling brand names. The company also sells trucks, crossovers, and cars to dealers for consumer retail sales, as well as to fleet customers, including daily rental car companies, commercial fleet customers, leasing companies, and governments. In addition, it offers safety and security services for retail and fleet customers, including automatic crash response, emergency services, roadside assistance, crisis assist, stolen vehicle assistance, and turn-by-turn navigation, as well as connected services comprising mobile applications for owners to remotely control their vehicles and electric vehicle owners to locate charging stations, on-demand vehicle diagnostics, smart driver, marketplace in-vehicle commerce, connected navigation, SiriusXM with 360L, and 4G LTE wireless connectivity. Further, the company provides automotive financing services; and operates an online store. General Motors Company was founded in 1908 and is headquartered in Detroit, Michigan.",Detroit,313-667-1500,MI,United States,[],http://www.gm.com,1.0,300 Renaissance Center,Auto Manufacturers,55.73,55.54,44.82504,0.0068185898,0.087799996,,55.71,,18552525.0,,55.73,55.24394,0.38,55.54,,18552525.0,,,,,1583366400.0,1.387755,,,53.52,2.0,USD,12.933025,10752346.0,,,,81270005760.0,,,25792246.0,0.66350985,53.52,56.05,,3200.0,10752346.0,62.24,8.846762,,,20.12,56.0,False,,800.0,55.71,NYQ,General Motors Company,General Motors Company,America/New_York,EDT,True,-14400000,EQUITY,GM,finmb_61206100,us_market,,1.4,,0.052470002,12.563,,,6.33,,1451250048.0,,,32.164,19894270.0,0.0138,,1609372800.0,0.80734,6247000064.0,4.33,,,1.741077,0.04908,1672444800.0,1609372800.0,0.98,1615766400.0,1369602045.0,171521114112.0,,,,,,,,1618444800.0,0.95,,0.0138,18324351.0,,,,56.0,https://logo.clearbit.com/gm.com,,,,,,64f3bd17-41ab-3d6b-a545-a1ae09bb8728
210,30339,Consumer Cyclical,50000.0,"Genuine Parts Company distributes automotive replacement parts, and industrial parts and materials. The company distributes automotive replacement parts for imported vehicles, hybrid and electric vehicles, trucks, SUVs, buses, motorcycles, recreational vehicles, farm vehicles, small engines, farm equipment, marine equipment, and heavy duty equipment; and accessory and supply items used by various automotive aftermarket customers, such as repair shops, service stations, fleet operators, automobile and truck dealers, leasing companies, bus and truck lines, mass merchandisers, farms, industrial concerns, and individuals. It also distributes industrial replacement parts and related supplies, such as bearings, mechanical and electrical power transmission products, industrial automation and robotics, hoses, hydraulic and pneumatic components, industrial and safety supplies, and material handling products for original equipment manufacturer, as well as maintenance, repair, and operation customers in equipment and machinery, food and beverage, forest product, primary metal, pulp and paper, mining, automotive, oil and gas, petrochemical, pharmaceutical, power generation, alternative energy, governments, transportation, ports, and other industries. In addition, the company provides various services and repairs comprising gearbox and fluid power and process pump assembly and repair, hydraulic drive shaft repair, electrical panel assembly and repair, hose and gasket manufacture and assembly, and other value-added services. It operates in in the United States, Canada, France, the United Kingdom, Germany, Poland, the Netherlands, Belgium, Australia, New Zealand, Mexico, Indonesia, and Singapore. The company was incorporated in 1928 and is headquartered in Atlanta, Georgia.",Atlanta,678 934 5000,GA,United States,[],http://www.genpt.com,1.0,2999 Wildwood Parkway,Specialty Retail,131.24,131.13,101.74052,0.024268514,1.7793,,131.555,,629750.0,,131.24,111.463936,3.185,131.13,,629750.0,,,,3.26,1622678400.0,1.124103,,,127.345,2.0,USD,361.53424,573764.0,,,,19064526848.0,,,884168.0,1.1274366,127.345,127.57,,1100.0,573764.0,131.555,20.522552,,2.99,67.12,127.46,False,0.025,900.0,131.555,NYQ,Genuine Parts Company,Genuine Parts Company,America/New_York,EDT,True,-14400000,EQUITY,GPC,finmb_275034,us_market,,1.249,,0.00308,15.323,,,6.43,,144472000.0,,,23.014,1561973.0,0.0108,,1609372800.0,0.78393,258759008.0,0.365,,,5.7339015,0.02796,1672444800.0,1617148800.0,2.01,1615766400.0,142143324.0,21119809536.0,,861062400.0,3:2,,,,0.595,1618444800.0,4.4,,0.0125,2358768.0,,,,131.96,https://logo.clearbit.com/genpt.com,,,,,,2e50ae82-e546-35a3-bd5e-f0da6b120ddd
211,94404,Healthcare,13600.0,"Gilead Sciences, Inc., a research-based biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical need in the United States, Europe, and internationally. The company provides Biktarvy, Genvoya, Descovy, Odefsey, Truvada, Complera/ Eviplera, Stribild, and Atripla products for the treatment of human immunodeficiency virus (HIV) infection; Veklury, an injection for intravenous use, for the treatment of coronavirus disease 2019; and Epclusa, Harvoni, Vosevi, Vemlidy, and Viread for the treatment of liver diseases. It also offers Yescarta, Tecartus, Trodelvy, and Zydelig products for the treatment of hematology, oncology, and cell therapy patients. In addition, the company provides Letairis, an oral formulation for the treatment of pulmonary arterial hypertension; Ranexa, an oral formulation for the treatment of chronic angina; and AmBisome, a liposomal formulation for the treatment of serious invasive fungal infections. Gilead Sciences, Inc. has collaboration agreements with Arcus Biosciences, Inc.; Pionyr; Tizona; Tango Therapeutics, Inc.; Jounce Therapeutics, Inc.; Galapagos; Janssen; Japan Tobacco, Inc.; Gadeta; Bristol-Myers Squibb Company; Merck; and Novo Nordisk A/S. The company was founded in 1987 and is headquartered in Foster City, California.",Foster City,650 574 3000,CA,United States,[],http://www.gilead.com,1.0,333 Lakeside Drive,Drug Manufacturers—General,67.22,66.75,62.444443,0.04091044,11.0,,67.95,,8210525.0,,67.22,64.1003,2.75,66.75,,8210525.0,,,,2.84,1623628800.0,0.412575,,,66.71,2.0,USD,285.54166,6849906.0,,,,86283378688.0,,,8648185.0,3.3751907,66.71,68.7,,800.0,6849906.0,85.79,10.320784,,3.23,56.56,68.3,False,0.0433,800.0,67.95,NMS,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",America/New_York,EDT,True,-14400000,EQUITY,GILD,finmb_29002,us_market,,4.494,,0.011770001,8.704,,,6.64,,1259059968.0,,,15.123,26010103.0,0.0207,,1609372800.0,0.79336,301000000.0,0.24,,,4.531508,0.00092,1672444800.0,1617148800.0,3.61,1615766400.0,1252821240.0,114890563584.0,,1359331200.0,2:1,,,,0.115,1618444800.0,3.13,,0.0207,22515269.0,,,,68.53,https://logo.clearbit.com/gilead.com,,650 578 9264,,,,8659e669-8ec5-3b0f-9929-db5db506231f
212,30326,Industrials,24000.0,"Global Payments Inc. provides payment technology and software solutions for card, electronic, check, and digital-based payments in the Americas, Europe, and the Asia-Pacific. The company operates through three segments: Merchant Solutions, Issuer Solutions, and Business and Consumer Solutions. The Merchant Solutions segment offers authorization services, settlement and funding services, customer support and help-desk functions, chargeback resolution, terminal rental, sales and deployment, payment security services, consolidated billing and statements, and on-line reporting services. This segment also provides an array of enterprise software solutions that streamline business operations of its customers in various vertical markets; and value-added services, such as point-of-sale solutions, and analytic and engagement tools, as well as payroll and human capital management services. The Issuer Solutions segment offers solutions that enable financial institutions and retailers to manage their card portfolios through a platform; and commercial payments and ePayables solutions for businesses and governments. The Business and Consumer Solutions segment provides general-purpose reloadable prepaid debit and payroll cards, demand deposit accounts, and other financial service solutions to the underbanked and other consumers, and businesses under the Netspend brand. It markets its products and services through direct sales force, trade associations, agent and enterprise software providers, referral arrangements with value-added resellers, and independent sales organizations. The company was founded in 1967 and is headquartered in Atlanta, Georgia.",Atlanta,770-829-8000,GA,United States,[],http://www.globalpaymentsinc.com,1.0,3550 Lenox Road,Specialty Business Services,195.06,193.49,191.73853,0.0039987694,0.4,,196.648,,1433225.0,,195.06,203.3,0.78,193.49,,1433225.0,,,,0.78,1615420800.0,1.190292,,,192.5,2.0,USD,102.01538,1229351.0,,,,58702249984.0,,,1838451.0,7.9075627,192.5,205.0,,1000.0,1229351.0,216.49,21.57592,,0.12,137.99,195.16,False,0.0038,800.0,196.648,NYQ,Global Payments Inc.,Global Payments Inc.,America/New_York,EDT,True,-14400000,EQUITY,GPN,finmb_813574,us_market,,9.315,,0.07874,24.454,,,9.22,,295089984.0,,,91.617,3816306.0,0.0128999995,,1609372800.0,0.91673,584520000.0,1.95,,,2.1713219,0.008719999,1672444800.0,1609372800.0,2.81,1615766400.0,293011362.0,69152325632.0,,1446508800.0,2:1,,,,0.777,1618444800.0,2.33,,0.015700001,4168554.0,,,,198.93,https://logo.clearbit.com/globalpaymentsinc.com,,,,,,ed492dd5-d92e-3838-a908-b71719292595
